Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","08/01/2023","1733","","ORD"
"UA","08/01/2023","1925","","DEN"
"UA","08/04/2023","2424","","BOS"
"UA","08/06/2023","0560","N75433","AUS"
"UA","08/07/2023","1568","","IAH"
"UA","08/07/2023","1700","","EWR"
"UA","08/08/2023","1076","","EWR"
"UA","08/09/2023","0417","","OGG"
"UA","08/09/2023","1141","","OGG"
"UA","08/09/2023","1219","","OGG"
"UA","08/09/2023","2459","","DEN"
"UA","08/10/2023","0417","","OGG"
"UA","08/10/2023","1141","","OGG"
"UA","08/10/2023","1219","","OGG"
"UA","08/11/2023","0417","","OGG"
"UA","08/11/2023","1219","","OGG"
"UA","08/12/2023","0417","","OGG"
"UA","08/12/2023","1076","N57111","EWR"
"UA","08/12/2023","1219","","OGG"
"UA","08/12/2023","1637","N14107","EWR"
"UA","08/13/2023","0417","","OGG"
"UA","08/13/2023","1219","","OGG"
"UA","08/14/2023","1141","","OGG"
"UA","08/15/2023","1141","","OGG"
"UA","08/16/2023","1141","","OGG"
"UA","08/16/2023","1897","","ORD"
"UA","08/18/2023","2424","N14107","BOS"
"UA","08/20/2023","1082","","EWR"
"UA","08/20/2023","1224","","HNL"
"UA","08/20/2023","1254","","SAN"
"UA","08/20/2023","2140","","IAH"
"UA","08/20/2023","2449","","LAS"
"UA","08/21/2023","1400","","ORD"
"UA","08/28/2023","2018","","TPA"
"UA","08/29/2023","2018","","TPA"
"UA","08/31/2023","1312","","SEA"
