Detailed Statistics Cancellation  
Origin Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: United Airlines Inc. (UA)
Month(s): July
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","07/01/2023","1690","N895UA","BZN"
"UA","07/02/2023","0251","","EWR"
"UA","07/02/2023","2029","","EWR"
"UA","07/02/2023","2327","","IAD"
"UA","07/02/2023","2614","","EWR"
"UA","07/03/2023","1712","","SFO"
"UA","07/04/2023","1821","","DEN"
"UA","07/04/2023","1897","","ORD"
"UA","07/04/2023","2327","","IAD"
"UA","07/06/2023","1680","","IAH"
"UA","07/06/2023","1821","","DEN"
"UA","07/08/2023","1897","","ORD"
"UA","07/08/2023","2614","","EWR"
"UA","07/09/2023","1621","","MCO"
"UA","07/09/2023","1690","","BZN"
"UA","07/09/2023","2029","","EWR"
"UA","07/09/2023","2096","","EWR"
"UA","07/09/2023","2155","N17122","EWR"
"UA","07/09/2023","2614","","EWR"
"UA","07/12/2023","0564","","SFO"
"UA","07/12/2023","1312","","SEA"
"UA","07/12/2023","1400","","ORD"
"UA","07/14/2023","1082","","EWR"
"UA","07/14/2023","2096","","EWR"
"UA","07/15/2023","2614","","EWR"
"UA","07/16/2023","1568","","IAH"
"UA","07/17/2023","1709","","IAH"
"UA","07/18/2023","0251","","EWR"
"UA","07/18/2023","1897","","ORD"
"UA","07/18/2023","2155","","EWR"
"UA","07/19/2023","1029","","DEN"
"UA","07/19/2023","2039","","ORD"
"UA","07/19/2023","2650","","SFO"
"UA","07/20/2023","1925","","DEN"
"UA","07/22/2023","1951","","DEN"
"UA","07/22/2023","2614","","EWR"
"UA","07/24/2023","0755","","IAD"
"UA","07/25/2023","0215","N37542","ORD"
"UA","07/25/2023","1082","","EWR"
"UA","07/25/2023","1621","","MCO"
"UA","07/25/2023","1700","","EWR"
"UA","07/25/2023","2029","","EWR"
"UA","07/26/2023","1897","","ORD"
"UA","07/27/2023","1082","","EWR"
"UA","07/27/2023","2611","","SFO"
"UA","07/28/2023","1395","","IAD"
"UA","07/28/2023","2140","","IAH"
"UA","07/29/2023","0390","","IAH"
"UA","07/29/2023","0622","","ORD"
"UA","07/29/2023","0755","","IAD"
"UA","07/29/2023","1069","","ORD"
"UA","07/29/2023","1082","","EWR"
"UA","07/29/2023","1657","","IAD"
"UA","07/29/2023","2650","","SFO"
"UA","07/30/2023","0487","","SFO"
"UA","07/30/2023","1412","","IAH"
"UA","07/30/2023","2424","","BOS"
"UA","07/30/2023","2650","","SFO"

 SOURCE: Bureau of Transportation Statistics
