Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","06/09/2023","2471","","EWR"
"UA","06/12/2023","1140","","IAD"
"UA","06/15/2023","2471","","EWR"
"UA","06/16/2023","1400","","ORD"
"UA","06/16/2023","1730","","MCO"
"UA","06/17/2023","1700","","EWR"
"UA","06/19/2023","2318","","SFO"
"UA","06/21/2023","1221","N27267","DEN"
"UA","06/22/2023","0672","","SFO"
"UA","06/22/2023","1745","N482UA","LAS"
"UA","06/22/2023","2014","","DEN"
"UA","06/22/2023","2471","","EWR"
"UA","06/23/2023","2018","","TPA"
"UA","06/23/2023","2622","","ORD"
"UA","06/25/2023","2029","","EWR"
"UA","06/25/2023","2096","","EWR"
"UA","06/26/2023","0783","","IAD"
"UA","06/26/2023","1082","","EWR"
"UA","06/26/2023","1395","","IAD"
"UA","06/26/2023","1605","","BWI"
"UA","06/26/2023","1621","","MCO"
"UA","06/26/2023","1637","","EWR"
"UA","06/26/2023","1700","","EWR"
"UA","06/26/2023","1925","","DEN"
"UA","06/26/2023","2037","","SEA"
"UA","06/26/2023","2039","","ORD"
"UA","06/26/2023","2096","","EWR"
"UA","06/26/2023","2175","","AUS"
"UA","06/27/2023","0644","","IAH"
"UA","06/27/2023","1082","","EWR"
"UA","06/27/2023","1170","","HNL"
"UA","06/27/2023","1331","","EWR"
"UA","06/27/2023","1488","","SFO"
"UA","06/27/2023","1568","","IAH"
"UA","06/27/2023","1680","","IAH"
"UA","06/27/2023","1690","","BZN"
"UA","06/27/2023","1700","","EWR"
"UA","06/27/2023","1709","","IAH"
"UA","06/27/2023","1733","","ORD"
"UA","06/27/2023","1890","","EWR"
"UA","06/27/2023","1925","","DEN"
"UA","06/27/2023","2029","","EWR"
"UA","06/27/2023","2096","","EWR"
"UA","06/27/2023","2146","","DEN"
"UA","06/27/2023","2614","","EWR"
"UA","06/28/2023","0215","","ORD"
"UA","06/28/2023","0487","","SFO"
"UA","06/28/2023","0564","","SFO"
"UA","06/28/2023","0783","","IAD"
"UA","06/28/2023","1029","","DEN"
"UA","06/28/2023","1141","","OGG"
"UA","06/28/2023","1412","","IAH"
"UA","06/28/2023","1488","","SFO"
"UA","06/28/2023","1597","","SFO"
"UA","06/28/2023","1621","","MCO"
"UA","06/28/2023","1690","","BZN"
"UA","06/28/2023","1733","","ORD"
"UA","06/28/2023","1890","","EWR"
"UA","06/28/2023","1925","","DEN"
"UA","06/28/2023","2014","","DEN"
"UA","06/28/2023","2175","","AUS"
"UA","06/28/2023","2318","","SFO"
"UA","06/28/2023","2449","","LAS"
"UA","06/28/2023","2611","","SFO"
"UA","06/28/2023","2650","","SFO"
"UA","06/29/2023","0564","","SFO"
"UA","06/29/2023","1312","","SEA"
"UA","06/29/2023","1395","","IAD"
"UA","06/29/2023","1605","","BWI"
"UA","06/29/2023","1690","","BZN"
"UA","06/29/2023","1709","","IAH"
"UA","06/29/2023","1712","","SFO"
"UA","06/29/2023","1733","","ORD"
"UA","06/29/2023","2037","","SEA"
"UA","06/29/2023","2175","","AUS"
"UA","06/29/2023","2312","","DEN"
"UA","06/30/2023","1140","","IAD"
"UA","06/30/2023","1374","","DEN"
"UA","06/30/2023","1925","","DEN"
"UA","06/30/2023","2616","","IAH"
