Detailed Statistics Cancellation  
Origin Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: United Airlines Inc. (UA)
Month(s): March
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","03/02/2023","1029","N77867","DEN"
"UA","03/03/2023","2424","","BOS"
"UA","03/06/2023","0247","","EWR"
"UA","03/06/2023","0447","","SFO"
"UA","03/06/2023","2609","","BOS"
"UA","03/19/2023","2039","","ORD"
"UA","03/23/2023","2085","","EWR"
"UA","03/26/2023","0622","","ORD"
"UA","03/30/2023","2614","","EWR"
"UA","03/31/2023","2053","","EWR"
"UA","03/31/2023","2124","N853UA","SEA"

 SOURCE: Bureau of Transportation Statistics
