Detailed Statistics Cancellation  
Origin Airport: Los Angeles, CA: Los Angeles International (LAX)
Airline: United Airlines Inc. (UA)
Month(s): May
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","05/07/2023","1611","","SFO"
"UA","05/08/2023","1636","","SFO"
"UA","05/10/2023","2146","","DEN"
"UA","05/15/2023","1416","","IAH"
"UA","05/15/2023","1657","","IAH"
"UA","05/19/2023","0490","","LAS"
"UA","05/22/2023","0282","","DEN"
"UA","05/23/2023","1265","","DEN"
"UA","05/26/2023","1423","","DEN"
"UA","05/31/2023","1897","","ORD"

 SOURCE: Bureau of Transportation Statistics
